Unnamed: 0;LONGITUDE;LATITUDE;Climatologia-Mensal;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;mai/01;DESVIO DE MAIO/2001
39;-37,0046;-9,66224; Jaramataia;37,7;38,6;57,7;72,6;100,4;110,6;103,3;62,0;34,5;24,3;16,4;22,4;11,9;-88,5
40;-36,0142;-10,0133; Jequiá da Praia;48,0;60,3;94,5;165,1;206,1;218,2;199,9;122,6;70,5;50,6;31,1;29,6;49,0;-157,1
41;-35,7474;-9,1328; Joaquim Gomes;66,0;77,9;118,2;166,3;204,8;242,5;232,5;158,4;80,1;52,6;38,6;36,8;24,7;-180,1
42;-35,5669;-8,93297; Jundiá;75,0;87,9;138,3;175,9;210,1;251,8;241,4;157,5;80,2;51,2;41,0;40,6;27,8;-182,3
43;-36,4803;-9,90696; Junqueiro;39,3;47,2;73,6;124,5;165,2;172,5;159,2;99,4;56,8;41,3;24,1;25,1;35,2;-130,0
44;-36,7413;-9,83291; Lagoa da Canoa;37,0;39,3;60,8;94,4;130,1;136,9;126,9;78,1;45,0;33,3;19,3;22,3;23,8;-106,3
45;-36,5121;-9,74098; Limoeiro de Anadia;38,7;46,7;70,7;113,9;148,1;167,0;153,6;96,8;54,6;36,8;21,6;25,4;27,2;-120,9
46;-35,70613929;-9,498880295; Maceió;66,7;80,9;121,3;185,4;227,1;258,3;245,5;158,9;87,9;58,2;41,6;37,6;35,1;-192,0
47;-36,992;-9,53009; Major Isidoro;38,4;41,4;59,1;73,0;98,5;110,3;103,9;63,0;33,8;23,3;16,2;24,3;9,2;-89,3
48;-36,3881;-9,44739; Mar Vermelho;43,4;54,1;78,9;120,0;148,3;189,1;178,1;117,1;62,9;36,1;22,5;27,6;19,5;-128,8
49;-35,2267;-9,00744; Maragogi;76,6;91,8;147,2;185,9;221,6;260,1;251,9;158,2;81,6;51,7;42,6;41,5;30,3;-191,3
50;-37,3524;-9,23045; Maravilha;44,2;47,1;65,2;64,0;75,8;84,7;86,6;50,3;24,5;17,0;17,1;28,8;5,3;-70,5
51;-35,8967;-9,70971; Marechal Deodoro;63,0;74,6;112,3;184,7;223,0;261,3;243,2;151,6;88,1;57,2;39,2;36,9;43,0;-180,0
